category_id,category,description,category_type,category_gif,enabled_p,parent_only_p,aux_int1,aux_int2,aux_string1,aux_string2,sort_order,visible_tcl
10000097,Billed,,Actual Production,category,t,f,,,,,0,
10000098,Appealed Claim,,Actual Production,category,t,f,,,,,0,
10000117,Mail - Outgoing (Pieces),,Actual Production,category,t,f,,,,,0,
10000118,Credit Card Payments,,Actual Production,category,t,f,,,,,0,
10000119,Coding - Front End,,Actual Production,category,t,f,,,,,0,
10000120,Coding - Tasking,,Actual Production,category,t,f,,,,,0,
10000121,Coding - Case,,Actual Production,category,t,f,,,,,0,
10000122,Coding - Escalations,,Actual Production,category,t,f,,,,,0,
10000123,PK Charge Entry,,Actual Production,category,t,f,,,,,0,
10000124,Reviewed,,Actual Production,category,t,f,,,,,0,
10000125,Bad Debt Review,,Actual Production,category,t,f,,,,,0,
10000126,ERA Posting,,Actual Production,category,t,f,,,,,0,
10000127,Statement Generation,,Actual Production,category,t,f,,,,,0,
10000128,Lockbox Downloading,,Actual Production,category,t,f,,,,,0,
10000129,Batch Report (Batch),,Actual Production,category,t,f,,,,,0,
10000130,Stromberg (comment),,Actual Production,category,t,f,,,,,0,
10000131,Enrollment Call,,Actual Production,category,t,f,,,,,0,
10000132,Filling out Form,,Actual Production,category,t,f,,,,,0,
10000133,Printing secondary EOBâ€™s,,Actual Production,category,t,f,,,,,0,
10000134,Inbound Call,,Actual Production,category,t,f,,,,,0,
10000135,Outbound Call,,Actual Production,category,t,f,,,,,0,
10000099,Corrected Balance,,Actual Production,category,t,f,,,,,0,
10000100,CLIA #/NDC # (IT Issues),,Actual Production,category,t,f,,,,,0,
10000101,Adjustment/Reverse Adjustment,,Actual Production,category,t,f,,,,,0,
10000102,Voided,,Actual Production,category,t,f,,,,,0,
10000103,Pt Responsibility,,Actual Production,category,t,f,,,,,0,
10000104,Enrollment Issues,,Actual Production,category,t,f,,,,,0,
10000109,Other,,Actual Production,category,t,f,,,,,0,
10046399,Emails Sent/Replied,Emails Sent/Replied,Actual Production,category,t,f,,,,,0,
10000110,Patient Account- Inbound Call,,Actual Production,category,t,f,,,,,0,
10000111,Patient Account - Outbound Call,,Actual Production,category,t,f,,,,,0,
10000112,Payment Posting (Line Item),,Actual Production,category,t,f,,,,,0,
10000113,Encounter Creation (Demographics),,Actual Production,category,t,f,,,,,0,
