category_id;category;description;category_type;category_gif;enabled_p;parent_only_p;aux_int1;aux_int2;aux_string1;aux_string2;sort_order;visible_tcl
88362;Increase use of Chat support;Increase use of Chat support;Business Goal;category;t;f;;;;;0;
88363;Intuit;Intuit;Business Goal;category;t;f;;;;;0;
88364;Labs Interface;Labs Interface;Business Goal;category;t;f;;;;;0;
88365;LDS Issues;LDS Issues;Business Goal;category;t;f;;;;;0;
88366;MICR Interface;MICR Interface;Business Goal;category;t;f;;;;;0;
88367;MIPS Support;MIPS Support;Business Goal;category;t;f;;;;;0;
88370;PER strategy;PER strategy;Business Goal;category;t;f;;;;;0;
88371;Performance;Performance;Business Goal;category;t;f;;;;;0;
88373;Practice Engagement;Practice Engagement;Business Goal;category;t;f;;;;;0;
88374;QPP integration;QPP integration;Business Goal;category;t;f;;;;;0;
88388;Analytics increase quality & decrease cost;Implement Analytics to increase quality of care, patient experience and decrease cost;Business Goal;category;t;f;;;;;0;
88418;Statutary activities;Statutary activities;Business Goal;category;t;f;;;;;0;
88417;Recruitment;Recruitment;Business Goal;category;t;f;;;;;0;
88376;Support;Support;Business Goal;category;t;f;;;;;0;
88377;Support Office 365;Support Office 365;Business Goal;category;t;f;;;;;0;
88378;Surescripts?;Surescripts?;Business Goal;category;t;f;;;;;0;
88379;Total Cost per user is too high cost;Total Cost per user is too high cost;Business Goal;category;t;f;;;;;0;
88380;Align Business Strategy;Align Business Strategy;Business Goal;category;t;f;;;;;0;
88381;Analytics Built from Start;Analytics Built from Start;Business Goal;category;t;f;;;;;0;
88382;Care Management;Care Management;Business Goal;category;t;f;;;;;0;
88383;Centered on Patient Experience;Centered on Patient Experience;Business Goal;category;t;f;;;;;0;
88416;Funds Management;Funds Management;Business Goal;category;t;f;;;;;0;
88415;Accounting and Auditing;Accounting and Auditing;Business Goal;category;t;f;;;;;0;
88306;Process & Quality Improvement;Process & Quality Improvement;Business Goal;category;t;f;;;;;0;
88303;BPCI DATA Projects;High Priority BPCI DATA Project;Business Goal;category;t;f;;;;;0;
88307;RCM Onboarding Process;RCM Onboarding Process;Business Goal;category;t;f;;;;;0;
88305;NTT Data Enhancements;NTT Data Enhancements;Business Goal;category;t;f;;;;;0;
54974;Test;;Business Goal;category;t;f;;;;;0;
88420;separate report server;separate report server - converting SQL stored proc to postgres;Business Goal;category;t;f;;;;;0;
88421;Creating dashboard for data ;Creating dashboard for data collected at central server;Business Goal;category;t;f;;;;;0;
88423;Future Product Lines;Future Product Lines;Business Goal;category;t;f;;;;;0;
88389;Interoperability:;Interoperability: External Communication Platform (API, CD, Automation, Downloads, etc.);Business Goal;category;t;f;;;;;0;
88304;MHP Monthly Financial Deck;MHP Monthly Financial Deck;Business Goal;category;t;f;;;;;0;
88390;Smart Work Queues;Smart Work Queues;Business Goal;category;t;f;;;;;0;
88391;Unique Dashboards for every member;Unique Dashboards for every member;Business Goal;category;t;f;;;;;0;
88392;Unified Communication Platform (OTC);Unified Communication Platform (OTC);Business Goal;category;t;f;;;;;0;
88419;Office administration;Office administration;Business Goal;category;t;f;;;;;0;
88347;99.99 Uptime;99.99 Uptime;Business Goal;category;t;f;;;;;0;
88348;Account Setup;Account Setup;Business Goal;category;t;f;;;;;0;
88350;Cloud;Cloud;Business Goal;category;t;f;;;;;0;
88351;Cloud Migration;Cloud Migration;Business Goal;category;t;f;;;;;0;
88368;Nuance;Nuance;Business Goal;category;t;f;;;;;0;
88369;Patient Portal;Patient Portal;Business Goal;category;t;f;;;;;0;
88372;PMO office Setup;PMO office Setup;Business Goal;category;t;f;;;;;0;
88375;Single Platform for Collaboration;Single Platform for Collaboration;Business Goal;category;t;f;;;;;0;
88384;Compliance in OTC;Compliance in OTC;Business Goal;category;t;f;;;;;0;
88385;Few Clicks;Few Clicks;Business Goal;category;t;f;;;;;0;
88386;Finalize Tech Stack;Finalize Tech Stack;Business Goal;category;t;f;;;;;0;
88387;Forms Builder;Forms Builder;Business Goal;category;t;f;;;;;0;
88393;User Experience;User Experience;Business Goal;category;t;f;;;;;0;
88349;Analytics;Analytics;Business Goal;category;t;f;;;;;0;
88352;Cloud Performance;Cloud Performance;Business Goal;category;t;f;;;;;0;
88353;Compilance and Regulation;Compilance and Regulation;Business Goal;category;t;f;;;;;0;
88354;Cost Reduction;Cost Reduction;Business Goal;category;t;f;;;;;0;
88355;CQM;CQM;Business Goal;category;t;f;;;;;0;
88356;Customer Prospect;Customer Prospect;Business Goal;category;t;f;;;;;0;
88357;Customer Support;Customer Support;Business Goal;category;t;f;;;;;0;
88358;Data Export;Data Export;Business Goal;category;t;f;;;;;0;
88359;Device Interface;Device Interface;Business Goal;category;t;f;;;;;0;
88360;DMS issue on Kozmary;DMS issue on Kozmary;Business Goal;category;t;f;;;;;0;
88361;Grey Screen Issue in Win10;Grey Screen Issue in Win10;Business Goal;category;t;f;;;;;0;
