id;code;name;description
1;envisioneer;best-of-breed;Tactics mindshare
2;maximize Gorgeous Soft Pants asymmetric;cross-platform Gourde US Dollar;Intelligent Cotton Shirt
3;Technician wireless alarm;indigo;1080p Checking Account
4;eco-centric value-added functionalities;Movies Motorway Officer;Designer
5;Administrator;microchip hard drive;pink Iceland
6;mission-critical;Berkshire;modular intermediate payment
7;Rubber Checking Account Car;Brand hardware Handcrafted;Plaza Handcrafted
8;motivating Clothing;incentivize North Dakota River;Home Loan Account interface dedicated
9;Outdoors Sausages;Practical;Personal Loan Account
10;capacitor;Electronics quantify Credit Card Account;Aruban Guilder e-commerce
