id;code;name;description
1;interactive target primary;withdrawal navigating;Licensed web services
2;mint green;Gorgeous impactful;Indiana withdrawal bluetooth
3;azure Global;Table Kwacha;Gloves Auto Loan Account customized
4;client-driven Analyst Rubber;Electronics;Legacy invoice
5;help-desk;Personal Loan Account Refined RAM;firewall toolset Administrator
6;Liaison Saint Helena Pound;challenge Agent;systems Keyboard Clothing
7;Sleek Clothing;Dynamic Fantastic matrix;cutting-edge
8;programming;Handmade copy;Turnpike quantifying Harbor
9;Networked transmitting;back-end Bike bandwidth;Ergonomic program platforms
10;out-of-the-box Extension calculate;e-commerce Louisiana;synthesizing Streets Engineer
