id;code;name;description
1;index EXE;Som El Salvador Colon US Dollar Mouse;groupware Taiwan
2;deposit United States of America;New Zealand Dollar;Frozen magnetic
3;Developer;yellow unleash;Djibouti Franc generate Group
4;Kids optical Handcrafted Granite Shirt;THX magenta;Team-oriented Shoes feed
5;program Stravenue;overriding Avon B2B;Kazakhstan Bedfordshire transmitting
6;XML Bridge;niches;auxiliary Product
7;blue;RSS;Towels parse
8;Awesome Metal Chips Practical syndicate;Administrator Vision-oriented Infrastructure;hierarchy
9;Incredible Soft Pants;Handmade Cotton Pants Islands;Handcrafted Plastic Fish Solutions architect
10;invoice Berkshire Kids;Licensed Awesome Ergonomic Rubber Cheese;Nevada haptic
