id;code;name;description
1;optimize redundant;artificial intelligence Uzbekistan Sum;Guinea overriding
2;Designer Course;Keyboard Analyst Ameliorated;Borders Liaison evolve
3;red;synergize Shirt Home;Granite Bedfordshire Fresh
4;Cotton Identity info-mediaries;e-markets Assistant Western Sahara;mission-critical
5;Shirt Tools Director;Wallis and Futuna Shoes Malawi;Cheese Streamlined
6;action-items secured line next generation;Car;cross-platform contextually-based
7;connecting Guadeloupe Towels;Frozen platforms;indexing maroon
8;Producer SQL Money Market Account;bluetooth Fall;enable Refined Granite Fish Tunisia
9;Frozen;Investor array;Track Rustic Soft Cheese
10;Steel wireless;Trail;Usability
