id;code;name;description
1;neural Dong Industrial;Organized Incredible Cotton Gloves;Solutions
2;cutting-edge redundant Alabama;Handcrafted;Advanced
3;Shoes;Credit Card Account copy Rustic Fresh Hat;Toys Web
4;AI Maryland;Tasty Metal Cheese system;panel incubate Organic
5;JSON cultivate;extensible New Caledonia;Wells
6;Analyst invoice;Road Intranet Avon;Street Indian Rupee Ngultrum Dong
7;Tasty Corporate;Avon Pakistan Rupee;Technician Gorgeous Rubber Keyboard calculate
8;Investment Account Mouse protocol;North Dakota Street;Car Clothing auxiliary
9;Chicken Street;wireless Interactions;withdrawal Markets
10;Soap Tennessee motivating;Awesome pixel Fantastic;Handcrafted Steel Car communities
