id;code;name;description
1;Applications;Executive Buckinghamshire;Borders function Bedfordshire
2;salmon index;Home Loan Account Central;Oregon SCSI
3;Knolls networks Auto Loan Account;South Dakota Applications;Executive
4;TCP;invoice success;Incredible Fresh Ball
5;Beauty Orchestrator;Mobility;connect
6;Kwanza bus Tugrik;withdrawal;transparent cross-platform
7;program;Data Industrial;olive Assistant Incredible
8;Books;next-generation payment Rustic Steel Cheese;transmit invoice program
9;Rial Omani Ergonomic target;Gorgeous infomediaries utilize;forecast
10;Generic multi-byte;Taka Industrial Sleek;neural-net Ergonomic Cambridgeshire
