id;code;name;description
1;transmitting Incredible Metal Chicken input;invoice Hat;Mountains Gorgeous Plastic Table Program
2;Rubber generate;Massachusetts;Guinea
3;matrix;Diverse;Home
4;Team-oriented Movies;lavender contingency alarm;index synthesizing
5;Money Market Account National;port compressing Keyboard;customized Assistant
6;Manager input;Montenegro Tuna;Practical Saint Kitts and Nevis
7;Games reciprocal Borders;Web;Bedfordshire
8;Personal Loan Account migration;Soft Colorado haptic;Bedfordshire holistic Division
9;Chicken Fish Practical;Direct Pula bus;global Jewelery Intelligent Wooden Pants
10;open-source;Pizza Metal input;Michigan Infrastructure Bedfordshire
