project_id;project_name;project_nr;project_path;parent_id;tree_sortkey;max_child_sortkey;company_id;project_type_id;project_status_id;description;billing_type_id;note;project_lead_id;supervisor_id;requires_report_p;project_budget;project_risk;corporate_sponsor;team_size;percent_completed;on_track_status_id;project_budget_hours;cost_quotes_cache;cost_invoices_cache;cost_timesheet_planned_cache;cost_purchase_orders_cache;cost_bills_cache;cost_timesheet_logged_cache;end_date;start_date;template_p;sort_order;reported_hours_cache;cost_expense_planned_cache;cost_expense_logged_cache;confirm_date;cost_delivery_notes_cache;cost_cache_dirty;milestone_p;release_item_p;presales_probability;presales_value;reported_days_cache;program_id;project_cost_center_id;project_calendar;company_project_nr;company_contact_id;presales_value_currency;opportunity_priority_id;opportunity_sales_stage_id;opportunity_campaign_id;score_revenue;score_strategic;score_finance_npv;score_customers;score_finance_cost;cost_bills_planned;cost_expenses_planned;score_risk;score_capabilities;score_finance_roi;project_bucket;project_maingoal;project_subgoal;project_businessgoal;project_initiative;project_plannedenddate;project_perofplannedcompletion;project_plannedstartdate;projet_plannedenddate;proj_businessgoal;prj_businessgoal;project_members;project_board_id;project_userwise_board;project_bring_nextday;project_bring_sameboard;project_newboard_everytime;project_board2_id;project_userwise_board2;project_bring_sameboard2;project_newboard2_everytime;project_newboard2_always;project_report_weekly;backlog_practice;score_gain;score_loss;score_delivery;score_operations;score_why;project_theme;project_class;project_vertical;java_services;net_services;collection_link;training_link;collection_name;training_name;training_doc;testing_richtext;template_category;d_type;d_option;d_filter;d_id;t_type;t_option;t_filter;t_id;risktype;riskimpact;riskprobability
57617;Document archival tool;sub2018_3122_01;sub2018_3122_01;57605;1000000000000000111001001110110100000000;;8720;2501;81;Tool to archive/export DMS and RCM documents to drive store    Use current export tool and provide option to select archive module : DMS, RCM    Provide time frame till when the documents are to be archived e.g. Last Year, Last Month    Provide option to enter the archive server and base folder path. Default to the set standard    Update current DMS database to hold information of archived documents in separate tables for DMS and RCM respectively    Store the archive information of documents in the tables like export server, path, datetime etc;;;52059;;f;80;;;;100;66;80;;;;;;;2018-09-14 00:00:00-05;2018-08-28 00:00:00-05;f;1;;0.00;0.00;;0.00;;f;;;;0.00;;57703;;;;;;;;;;;;;;;;;;88323;88408;88313;88354;88330;;;2018-08-28;2018-09-07;;;;;;;;;;;;;;;;;;;;;;;10046333;;;;;;;;;;;;;;;;;;;;
58731;1. Exploring and implementation of Moodle API, 2. Configuration of Moodle with PosgreSQL, 3. Custom plugin development in moodle server for Topics 4. Work on Admin Views,  5. User Views-Created Section Views for viewing course contents;Sub2018_3006_01;Sub2018_3006_01;58554;1000000000000000111010001010001000000000;;8720;2501;88397;;;;52075;;t;;;;;;;;;;;;;;2018-07-20 00:00:00-05;2018-04-24 00:00:00-05;f;1;;0.00;0.00;;0.00;;;;;;0.00;;57701;;;;;;;;;;;;;;;;;;88323;88309;88344;88373;88336;;;2018-04-24;;;;;;;;;;;;;;;;;;;;;;;;10046333;;;;;;;;;;;;;;;;;;;;
58735;1. Reset password 2. List Users 3. UI for Web Portal 4. Login screen 5. Service for LDAP 6. Password Policies validations 7. Building UBUNTU server 8. Deployment Angular online staging Server 9. User sigup and roles assignment;Sub2018_3002_01;Sub2018_3002_01;58538;1000000000000000111010001001001000000000;00000000;8720;2501;88397;;;;52075;;t;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-10-30 13:30:00-05;2018-10-11 13:30:00-05;f;1;;0.00;0.00;;0.00;;;;;;;;57701;;;;;;;;;;;;;;;;;;88323;88309;88314;88373;88336;;;2018-06-22;;;;;;;;;;;;;;;;;;;;;;;;10046333;;;;;;;;;;;;;;;;;;;;
60114;7/23/2018 scrum, Team meeting and email follow up -  CAS-22246-T3Y0R2, seperate report server POC, MHP Monthly Financial Deck analysis, BPCI enhancement for swoop graph and other graphs, BPCI web application validations, fill weekly report;2018_1087_task_214;2018_1087_task_214;58526;1000000000000000111010001000011000000001;;8720;100;76;;;;;;t;;;;;100;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-12-31 00:00:00-06;2018-07-26 00:00:00-05;f;1;14.6;0.00;0.00;;0.00;;;;;;;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
63109;AR Automation meeting - automation done by QA team using RPA;2018_1086_task_321;2018_1086_task_321;58522;1000000000000000111010001000001000000011;;8720;100;76;;;;;;t;;;;;1;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-11-01 00:00:00-05;2018-08-28 00:00:00-05;f;1;17;0.00;0.00;;0.00;;f;;;;0.51;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046324;10046314;10046340;;;;;;;;;;;;;;;;;;;;
63124;New application template integration;2018_1085_task_326;2018_1085_task_326;58518;1000000000000000111010000111111000001100;;8720;100;76;;;;;;t;;;;;100;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-12-31 00:00:00-06;2018-08-29 00:00:00-05;f;1;15;0.00;0.00;;0.00;;;;;;;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
63129;CAS-23524-K3V0J6  - Before I get back to Sharon she also wants a report of all patients, then all active patients. What would you suggest!?;2018_1070_task_328;2018_1070_task_328;60523;1000000000000000111100000101001100010100;;8720;100;76;;;;;;t;;;;;100;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-12-31 00:00:00-06;2018-08-30 00:00:00-05;f;1;4;0.00;0.00;;0.00;;;;;;;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
63528;Exam conducted;2018_4041_task_160;2018_4041_task_160;59864;1000000000000000111011011100000010000000000000000000000010001111;;8720;100;88395;;;;;;t;;;;;100;;;;;;;;;2018-09-14 00:00:00-05;2018-09-14 00:00:00-05;f;1;;0.00;0.00;;0.00;;t;;;;0.00;;525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
63999;Coding and unit testing : Establish and non estanblish CPT;task_63999;task_63999;60297;1000000000000000111011110111000100000000;;8720;100;76;;;;;;t;;;;;0;;;;;;;;;2018-09-20 23:59:59-05;2018-09-20 00:00:00-05;f;1;;0.00;0.00;;0.00;;f;;;;0.00;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
64308;CPT filter type for Productivity by DOS report;cpt_filter_type_for_productivity_by_dos_report;cpt_filter_type_for_productivity_by_dos_report;58462;1000000000000000111010000100011000000001;;8720;100;76;add CPT type filter on summary report;;add CPT type filter on summary report;;;t;;;;;;;;;;;;;;;;f;1;;0.00;0.00;;0.00;;;;;;0.00;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
64397;Testing  Prod by DOS CR for CPT Filter;testing__prod_by_dos_cr_for_cpt_filter;testing__prod_by_dos_cr_for_cpt_filter;64152;1000000000000000111111101000000000000000;;8720;100;76;;;;;;t;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-09-27 00:00:00-05;2018-09-24 00:00:00-05;f;1;37.5;0.00;0.00;;0.00;;;;;;4.69;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
64904;Working on Oauth2;task_64904;task_64904;64883;1000000000000001000000010101101100000000;;8720;100;76;;;;;;t;;;;;0;;;;;;;;;2018-09-27 23:59:59-05;2018-09-27 00:00:00-05;f;1;;0.00;0.00;;0.00;;f;;;;0.00;;57701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
64951;Learning 4j light Java framework;task_64951;task_64951;64921;1000000000000001000000011000000100000000;00000000;8720;100;76;;;;;;t;;;;;7.36607142857143;;;0.00;0.00;0.00;0.00;0.00;395.58;2018-11-30 00:00:00-06;2018-09-27 00:00:00-05;f;1;82.5;0.00;0.00;;0.00;;f;;;;10.32;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
65941;Dashboard;task_65941;task_65941;65831;1000000000000001000001010000111100000011;;8720;100;88405;;;;;;t;;;;;2.99404761904762;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-10-22 00:00:00-05;2018-10-03 00:00:00-05;f;1;50.3;0.00;0.00;;0.00;;;;;;6.32;;57705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
66150;QEMR;task_66150;task_66150;66139;1000000000000001000001100100001100000000;;8720;100;88398;;;;;;t;;;;;12.5;;;0.00;0.00;0.00;0.00;0.00;320.00;2018-10-24 00:00:00-05;2018-10-03 00:00:00-05;f;1;36;0.00;0.00;;0.00;;;;;;4.54;;57705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
66288;learning and understanding spring boot and swagger.;task_66288;task_66288;66262;1000000000000001000001101011111000000000;;8720;100;88395;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-11-30 00:00:00-06;2018-10-03 00:00:00-05;f;1;8;0.00;0.00;;0.00;;;;;;1.00;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
66521;MIPS Changes for 9020;task_66521;task_66521;66510;1000000000000001000001111011011000000000;;8720;100;76;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-10-04 23:59:59-05;2018-10-04 00:00:00-05;f;1;17;0.00;0.00;;0.00;;;;;;2.13;;57701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046321;10046315;10046346;;;;;;;;;;;;;;;;;;;;
66838;Option to create weekly report;task_66838;task_66838;66819;1000000000000001000010001110101100000000;00000010;8720;100;76;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-10-05 23:29:59-05;2018-10-04 13:00:00-05;f;1;15;0.00;0.00;;0.00;;f;;;;1.89;;525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
66894;CMS56;task_66894;task_66894;66882;1000000000000001000010010010101000010010;;8720;100;88395;;;;;;t;;;;;100;;;0.00;0.00;0.00;0.00;0.00;120.00;2018-11-02 00:00:00-05;2018-10-05 00:00:00-05;f;1;14.5;0.00;0.00;;0.00;;f;;;;1.82;;57701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
66964;Cleargage Upload and download Service;task_66964;task_66964;60294;1000000000000000111011110110111000001101;00000010;8720;2501;81;;;;;;t;;;;;100;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-10-29 00:00:00-05;2018-10-05 00:00:00-05;f;1;310;0.00;0.00;;0.00;;f;;;;38.78;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046325;10046314;10046333;;;;;;;;;;;;;;;;;;;;
67113;Application to create rules centrally;task_67113;task_67113;58214;1000000000000000111001110100111000100001;00000010;8720;100;76;;;;;;t;;;;;52.3469387755102;;;0.00;0.00;0.00;0.00;0.00;200.00;2018-10-23 00:00:00-05;2018-10-04 00:00:00-05;f;1;109;0.00;0.00;;0.00;;f;;;;13.69;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
67156;Support cases and other than sprint issues fixing and ;task_67156;task_67156;64109;1000000000000000111111100101010100000000;00000111;8720;100;76;;;;;;t;;;;;10.3;;;0.00;0.00;0.00;0.00;0.00;2537.00;2018-12-07 12:29:00-06;2018-10-05 00:00:00-05;f;1;153.35;0.00;0.00;;0.00;;f;;;;19.30;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
67302;CAS-21772-T8L3L5;task_67302;task_67302;67210;1000000000000001000010100111001000000000;;8720;100;88395;;;;;;t;;;;;100;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-10-08 00:00:00-05;2018-10-08 00:00:00-05;f;1;3;0.00;0.00;;0.00;;;;;;0.38;;57701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
67611;Build RCM Quality Strategy ;task_67611;task_67611;67599;1000000000000001000010111111011100000000;;8720;100;76;;;;;;t;;;;;0;;;;;;;;;2018-10-10 23:59:59-05;2018-10-10 00:00:00-05;f;1;;0.00;0.00;;0.00;;;;;;0.00;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
67943;Database Activities;2018_4207;2018_4207;65003;1000000000000001000000011101001100001010;00000000;8720;2501;88398;;;;52149;;f;;;;;0;66;;0.00;0.00;0.00;0.00;0.00;0.00;2019-09-30 00:00:00-05;2018-01-01 00:00:00-06;f;1;4;0.00;0.00;;0.00;;f;;;;0.50;;57705;;;;;;;;;;;;;;;;;;88293;88403;88320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
68085;Icon design for QMobile;task_68085;task_68085;68074;1000000000000001000011011101001000000000;;8720;100;88398;;;;;;t;;;;;4.2;;;0.00;0.00;0.00;0.00;0.00;3760.00;2018-11-21 00:00:00-06;2018-10-11 00:00:00-05;f;1;243;0.00;0.00;;0.00;;f;;;;30.47;;57705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
68285;Daily Charge Entry;task_68285;task_68285;68263;1000000000000001000011101000111100000000;00000100;8720;100;10000138;;;;;;t;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;2019-12-31 00:00:00-06;2018-10-11 00:00:00-05;f;1;6.5;0.00;0.00;;0.00;;;;;;0.81;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
68848;NEGA - Daily AR;task_68848;task_68848;68836;1000000000000001000100001100110000000000;00000000;8720;100;10000138;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;380.00;2019-12-31 00:00:00-06;2018-10-12 00:00:00-05;f;1;48;0.00;0.00;;0.00;;f;;;;6.05;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
