category_id;category;description;category_type;category_gif;enabled_p;parent_only_p;aux_int1;aux_int2;aux_string1;aux_string2;sort_order;visible_tcl
88396;Deferred;Deferred;Intranet Project Status;category;t;f;;;;;0;
88395;Completed;Completed;Intranet Project Status;category;t;f;;;;;0;
88405;Inception;Inception;Intranet Project Status;category;t;f;;;;;0;
71;Potential;"";Intranet Project Status;category;f;f;;;"";;71;
83;Canceled;       #  #       ;Intranet Project Status;category;f;f;;;       #  #       ;;83;
88397;Implementation;Implementation;Intranet Project Status;category;t;f;;;;;0;
76;Open;"";Intranet Project Status;category;t;f;;;"";;76;
10000138;Not For Tracking;;Intranet Project Status;category;t;f;;;;;0;
82;Deleted;       #  #       ;Intranet Project Status;category;f;f;;;       #  #       ;;82;
88430;Pending3rdParty;Waiting for feedback from Third Party;Intranet Project Status;category;t;f;;;;;0;
88404;Planning;Planning;Intranet Project Status;category;t;f;;;;;0;
88402;Rolling Out;Rolling Out;Intranet Project Status;category;t;f;;;;;0;
88429;PendingCustomer;Pending Feedback from Customer;Intranet Project Status;category;t;f;;;;;0;
88427;Integration/Backward;Integration/Backward;Intranet Project Status;category;t;f;;;;;0;
88426;Coding&DailyTesting;Coding&DailyTesting;Intranet Project Status;category;t;f;;;;;0;
88428;Ready For Release;Ready For Release;Intranet Project Status;category;t;f;;;;;0;
73;Qualifying;      ;Intranet Project Status;category;f;f;;;      ;;73;
81;Closed;"All potential outcomes of projectes once the ""open"" phase is over #  #       ";Intranet Project Status;category;t;f;;;"All potential outcomes of projectes once the ""open"" phase is over #  #       ";;81;
77;Declined;       #  #       ;Intranet Project Status;category;f;f;;;       #  #       ;;77;
75;Quote Out;      ;Intranet Project Status;category;f;f;;;      ;;75;
88401;On Hold;On Hold;Intranet Project Status;category;t;f;;;;;0;
74;Quoting;      ;Intranet Project Status;category;f;f;;;      ;;74;
78;Delivered;      ;Intranet Project Status;category;f;f;;;      ;;78;
72;Inquiring;      ;Intranet Project Status;category;f;f;;;      ;;72;
88400;On Going;On Going;Intranet Project Status;category;t;f;;;;;0;
88394;Closing Out;Closing Out;Intranet Project Status;category;t;f;;;;;0;
10000216;Backlog;Backlog;Intranet Project Status;category;t;f;;;;;0;
79;Invoiced;       #  #       ;Intranet Project Status;category;f;f;;;       #  #       ;;79;
88399;Not Started;Not Started;Intranet Project Status;category;t;f;;;;;0;
88398;In-Progress;In-Progress;Intranet Project Status;category;t;f;;;;;0;
