category_id;category;description;category_type;category_gif;enabled_p;parent_only_p;aux_int1;aux_int2;aux_string1;aux_string2;sort_order;visible_tcl
88346;One Team, One Solution, One Price tagline;One Team, One Solution, One Price tagline;Sub Goal;category;t;f;;;;;0;
88345;Leverage content through all media channels;Leverage content through all media channels. (Website, email, Webinars, Facebook, YouTube, Twitter, Instagram, etc.);Sub Goal;category;t;f;;;;;0;
88407;Put more emphasis on cloud optimization and mobile;Put more emphasis on cloud optimization and mobile. #  # ;Sub Goal;category;t;f;;;;;0;
88406;Awareness by delivering content-rich webinars;Increase awareness by delivering content-rich webinars. ;Sub Goal;category;t;f;;;;;0;
88410;Integrated team in India to optimize the cloud;Create an integrated team based in India to optimize the cloud. ;Sub Goal;category;t;f;;;;;0;
88315;RCM quality initiative;RCM quality initiative;Sub Goal;category;t;f;;;;;0;
88313;Miscellaneous;Miscellaneous;Sub Goal;category;t;f;;;;;0;
88314;Protect & broaden the base;Protect and broaden the base using Q Services;Sub Goal;category;t;f;;;;;0;
88310;Better integration btn US and India;Create better integration between US and India;Sub Goal;category;t;f;;;;;0;
88319;Create a next-generation platform ;Create a next-generation team-based care platform focused on outcomes.;Sub Goal;category;t;f;;;;;0;
88320;Implement a care management platform;Implement a care management platform to support the One Team Care initiative.;Sub Goal;category;t;f;;;;;0;
88321;Leverage “Big Data”;Leverage “Big Data” to identify populations and protocols to improve care and value.;Sub Goal;category;t;f;;;;;0;
88322;Use modern technology stack;Use modern technology stack to build the One Team Care Approach.;Sub Goal;category;t;f;;;;;0;
88343;Awareness by content-rich webinars;Increase awareness by delivering content-rich webinars;Sub Goal;category;t;f;;;;;0;
88312;Measure & Report outcomes;Measure and report the outcomes monthly;Sub Goal;category;t;f;;;;;0;
88311;Build integrated RCM Team;Begin building an integrated RCM team;Sub Goal;category;t;f;;;;;0;
88344;Launch Q College knowledge centre;Launch our Q College knowledge centre to educate and support all TRIARQ stakeholders in leveraging our services;Sub Goal;category;t;f;;;;;0;
