id;code;name;description
1;incubate;Optimized Views Integration;bus Savings Account
2;Dominican Peso Technician Sleek;index;Unbranded
3;Unbranded redundant AGP;convergence system Industrial;Polarised New Zealand
4;Reactive microchip Handcrafted;programming;circuit
5;Computers;red analyzing;Senior
6;Landing program;Credit Card Account Checking Account;Tactics programming
7;revolutionize Cambridgeshire interactive;maroon Home Loan Account compress;Designer actuating navigate
8;Dynamic South Carolina;global PCI;Internal deposit neural
9;e-commerce AGP;bus supply-chains;Nigeria Frozen
10;Practical Fresh Hat regional e-markets;orange;Berkshire Practical Granite Chair
