id;code;name;description
1;high-level maroon Gloves;Handmade Concrete Sausages Phased Berkshire;Sleek Metal Car West Virginia Representative
2;haptic;payment invoice Arkansas;sticky Re-contextualized orchid
3;Investor;virtual Indiana Frozen;New Zealand Regional Chicken
4;scalable collaborative;B2B sensor Togo;feed
5;Canadian Dollar;Health deposit Canyon;web services
6;Saint Martin;dot-com;Codes specifically reserved for testing purposes Generic upward-trending
7;connect Malta Table;Awesome Wooden Pizza Manors;Senior
8;hacking Strategist haptic;enhance invoice Intelligent;Optimization Administrator
9;Metrics Mayotte black;functionalities Savings Account;orchid
10;Supervisor;synthesizing;National Quality Markets
