id;code;name;description
1;Avon bandwidth;Lead Vatu;Refined Frozen Towels Beauty North Korean Won
2;support;Springs Rubber;Corporate initiatives
3;Web Pike;Pakistan Rupee Progressive Avon;Innovative
4;Cambridgeshire withdrawal Response;Shoal Analyst;withdrawal
5;Future;vertical;Checking Account Corporate
6;holistic;Highway Manors Savings Account;Investment Account holistic
7;Montana;Sports Movies;backing up
8;Gorgeous web-enabled redundant;tan empower;Response
9;bypassing mobile;Granite visionary Borders;Health Seychelles Rupee Tasty Cotton Keyboard
10;clear-thinking disintermediate mindshare;JSON Swedish Krona;Credit Card Account
