id;code;name;description
1;actuating Shoes TCP;Generic Fresh Towels;back-end
2;deliverables;Unbranded Ameliorated;payment Liaison Vermont
3;streamline navigating open-source;sensor Strategist;Metal
4;mint green Kentucky Groves;Communications Director Computer;Fish
5;ROI;quantifying;Macedonia Executive
6;AI;Bahrain wireless Mali;Intelligent Summit
7;initiatives Frozen;overriding Bermudian Dollar (customarily known as Bermuda Dollar);AI Ports
8;Finland Licensed Granite Computer cross-platform;Associate neural;pink Synergized
9;Gibraltar;input Andorra yellow;invoice Pizza Enterprise-wide
10;Park Producer quantify;Bahamas;Hollow
