id;code;name;description
1;Car;out-of-the-box mobile program;connecting Japan enable
2;policy;Cloned architect;Auto Loan Account
3;parse capacitor model;systems;Buckinghamshire Computer
4;methodologies calculating scale;Intranet mint green;holistic strategic
5;Netherlands Antillian Guilder;generating neutral;Paradigm solid state
6;systematic;Synergized generate;turquoise redundant
7;Applications panel;Small circuit;District 1080p
8;bypass;Polarised;Cotton
9;Dynamic Ville Movies;Small Plastic Chair;content-based
10;Forward;Engineer;index Summit
