id;code;name;description
1;Metrics Producer;Pizza Springs;customer loyalty Profit-focused Prairie
2;Chips Rhode Island program;Checking Account backing up;dynamic Infrastructure Self-enabling
3;Intelligent Soft Gloves Pizza;transmitter Gorgeous;Ameliorated grow
4;deposit Fresh bottom-line;Agent Metrics;Sleek Soft Shoes expedite
5;Handmade Automotive;Division;executive Auto Loan Account
6;Innovative New Hampshire killer;overriding Dynamic;Principal Small Cambridgeshire
7;back up;Industrial;Pizza
8;context-sensitive Group Oklahoma;New Jersey convergence;program
9;Plastic;Human Configuration;strategize transmit indexing
10;Borders teal Illinois;empowering;TCP orchid
