GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Qnow 1,com.qnowapp,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Qnow 1,com.qnowapp,Qnow1App,139,0,14,0,33,0,12,0,5,0
Qnow 1,com.qnowapp.security,UserNotActivatedException,9,0,0,0,4,0,2,0,2,0
Qnow 1,com.qnowapp.security,SpringSecurityAuditorAware,8,0,0,0,2,0,2,0,2,0
Qnow 1,com.qnowapp.security,DomainUserDetailsService,131,0,4,0,20,0,10,0,8,0
Qnow 1,com.qnowapp.security,SecurityUtils,9,90,2,2,3,20,2,11,0,11
Qnow 1,com.qnowapp.web.rest.vm,ManagedUserVM,20,0,0,0,7,0,4,0,4,0
Qnow 1,com.qnowapp.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
Qnow 1,com.qnowapp.web.rest.vm,LoginVM,43,0,0,0,11,0,8,0,8,0
Qnow 1,com.qnowapp.web.rest,UserJWTController.JWTToken,13,0,0,0,6,0,3,0,3,0
Qnow 1,com.qnowapp.web.rest,ProjectInitiativeIdResource,269,0,14,0,68,0,16,0,9,0
Qnow 1,com.qnowapp.web.rest,AuditResource,60,0,0,0,12,0,4,0,4,0
Qnow 1,com.qnowapp.web.rest,CityResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,ImProjectsResource,2242,0,128,0,506,0,93,0,29,0
Qnow 1,com.qnowapp.web.rest,ProjectBoardIdResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,UserContactResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,AccountResource,200,0,22,0,48,0,23,0,12,0
Qnow 1,com.qnowapp.web.rest,ProjectBucketIdResource,269,0,14,0,68,0,16,0,9,0
Qnow 1,com.qnowapp.web.rest,TagTypeResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,RolesResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,CompanyResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,ClientForwardController,5,0,0,0,2,0,2,0,2,0
Qnow 1,com.qnowapp.web.rest,ProjectMaingoalIdResource,269,0,14,0,68,0,16,0,9,0
Qnow 1,com.qnowapp.web.rest,StateMasterResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,ProjectStatusIdResource,269,0,14,0,68,0,16,0,9,0
Qnow 1,com.qnowapp.web.rest,ProjectTypeIdResource,269,0,14,0,68,0,16,0,9,0
Qnow 1,com.qnowapp.web.rest,ProjectRolesResource,266,0,14,0,66,0,15,0,8,0
Qnow 1,com.qnowapp.web.rest,ImEmployeeResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,FileStorageResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,OpportunityPriorityIdResource,269,0,14,0,68,0,16,0,9,0
Qnow 1,com.qnowapp.web.rest,CountryResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,SkillsResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,UserResource,834,0,34,0,175,0,30,0,13,0
Qnow 1,com.qnowapp.web.rest,SkillCategoryResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,SkillTableResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,ProjectTagResource,153,0,4,0,30,0,9,0,7,0
Qnow 1,com.qnowapp.web.rest,ProjectClassResource,269,0,14,0,68,0,16,0,9,0
Qnow 1,com.qnowapp.web.rest,UserJWTController,67,0,2,0,13,0,3,0,2,0
Qnow 1,com.qnowapp.web.rest,ProjectSubgoalIdResource,269,0,14,0,68,0,16,0,9,0
Qnow 1,com.qnowapp.web.rest,ProjectThemeResource,269,0,14,0,68,0,16,0,9,0
Qnow 1,com.qnowapp.web.rest,ProjectCostCenterIdResource,269,0,14,0,68,0,16,0,9,0
Qnow 1,com.qnowapp.web.rest,BacklogPracticeResource,267,0,14,0,68,0,16,0,9,0
Qnow 1,com.qnowapp.web.rest,ImTimesheetResource,617,0,44,0,144,0,36,0,14,0
